Company,Revenue,NetIncome,TotalAssets,TotalLiabilities,CurrentAssets,CurrentLiabilities,OperatingCashFlow,CapitalExpenditures,GrossMargin,ProfitMargin,ROA,DebtToEquity,CurrentRatio,QuickRatio,CashRatio,OperatingMargin,InterestCoverage,FinancialHealthScore
TechInnovate Inc,1250.5,87.3,1580.2,695.6,620.8,210.4,156.3,-98.7,0.38,0.07,0.055,0.79,2.95,2.45,1.20,0.11,8.5,8
GreenEnergy Corp,890.2,42.1,1205.7,578.2,415.3,185.1,98.5,-75.2,0.32,0.047,0.035,0.92,2.24,1.85,0.90,0.08,6.2,6
HealthTech Solutions,1680.9,126.4,2150.3,880.7,895.2,320.6,210.7,-145.3,0.42,0.075,0.059,0.69,2.79,2.35,1.15,0.13,9.8,8
GlobalRetail Ltd,3560.2,178.1,4250.8,2380.5,1850.3,780.2,320.5,-210.8,0.28,0.05,0.042,1.27,2.37,1.65,0.80,0.07,5.9,5
IndustrialMachines Co,2340.7,105.3,3120.4,1570.2,1080.6,480.3,245.2,-180.6,0.35,0.045,0.034,1.01,2.25,1.85,0.90,0.08,6.8,6
FinTech Innovations,720.3,64.8,980.5,420.3,410.2,140.7,89.6,-52.4,0.45,0.09,0.066,0.75,2.91,2.55,1.25,0.15,11.2,9
AgroScience Corp,1450.6,72.5,1890.3,850.2,680.4,280.1,135.8,-110.3,0.31,0.05,0.038,0.82,2.43,1.95,0.95,0.09,7.1,7
SmartHome Systems,580.9,29.0,720.6,280.4,290.3,110.2,62.4,-45.8,0.39,0.05,0.040,0.64,2.63,2.20,1.05,0.09,6.5,7
CloudComputing Inc,2780.4,222.4,3650.7,1580.3,1520.5,520.8,385.2,-280.6,0.48,0.08,0.061,0.76,2.92,2.55,1.30,0.14,12.5,9
BioPharm Research,950.8,38.0,1420.6,740.3,480.2,220.5,85.7,-95.2,0.40,0.04,0.027,1.09,2.18,1.75,0.85,0.07,5.4,5
StruggleTech Ltd,320.5,-45.2,580.3,620.1,180.2,250.4,-15.3,-30.1,0.15,-0.141,-0.078,15.50,0.72,0.50,0.10,-0.10,0.5,1
MegaCorp Global,15680.2,2350.6,25480.9,8960.3,9850.4,2580.6,3250.8,-1580.3,0.52,0.15,0.092,0.54,3.82,3.45,2.10,0.22,18.5,10
